Source: IEA. Licence: CC BY 4.0
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/
Units: billion USD (2024, MER)
;Fossil fuels;Renewable power;Grids and storage;Nuclear and other clean power;Energy efficiency and end-use;Low-emissions fuels
 ; ; ; ; ; ; 
2015;217;110;79;14;115;1
2025;257;327;108;24;162;7
 ; ; ; ; ; ; 
2015;302;57;61;14;80;2
2025;188;106;135;11;140;9
 ; ; ; ; ; ; 
2015;43;56;35;4;75;1
2025;32;117;92;11;161;6
 ; ; ; ; ; ; 
2015;146;2;21;2;6;0
2025;144;9;14;1;15;2
 ; ; ; ; ; ; 
2015;41;13;31;1;13;0
2025;49;37;25;6;32;1
 ; ; ; ; ; ; 
2015;119;29;16;0;8;1
2025;93;26;13;1;23;6
 ; ; ; ; ; ; 
2015;69;9;15;0;6;1
2025;52;19;12;0;14;3
 ; ; ; ; ; ; 
2015;125;11;12;0;5;0
2025;54;21;14;1;14;1
