region,year,fossil_fuels,renewable_power,grids_and_storage,nuclear_and_other_clean_power,energy_efficiency_and_end_use,low_emissions_fuels
China,2015,217,110,79,14,115,1
China,2025,257,327,108,24,162,7
United States,2015,302,57,61,14,80,2
United States,2025,188,106,135,11,140,9
European Union,2015,43,56,35,4,75,1
European Union,2025,32,117,92,11,161,6
Middle East,2015,146,2,21,2,6,0
Middle East,2025,144,9,14,1,15,2
India,2015,41,13,31,1,13,0
India,2025,49,37,25,6,32,1
Latin America,2015,119,29,16,0,8,1
Latin America,2025,93,26,13,1,23,6
Southeast Asia,2015,69,9,15,0,6,1
Southeast Asia,2025,52,19,12,0,14,3
Africa,2015,125,11,12,0,5,0
Africa ,2025,54,21,14,1,14,1
